Card Name,Set,Set Code,Game,Region,Release Date,Rarities,Notes,Market Price (USD),Price Updated
Dark Magician,7-Eleven Japan 2023 Campaign,711C-JP001,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Buster Blader,7-Eleven Japan 2023 Campaign,711C-JP002,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Dark Paladin,7-Eleven Japan 2023 Campaign,711C-JP003,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Marshmallon,7-Eleven Japan 2023 Campaign,711C-JP004,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Blue-Eyes White Dragon,7-Eleven Japan 2024 Campaign,711D-JP001,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
XYZ-Dragon Cannon,7-Eleven Japan 2024 Campaign,711D-JP002,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Red-Eyes Black Dragon,7-Eleven Japan 2024 Campaign,711D-JP003,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Time Wizard,7-Eleven Japan 2024 Campaign,711D-JP004,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Exodia the Forbidden One,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB01,OCG,Korea,2025-07-18,Ultra Rare,Duel Arena chibi; pop-up store stamp promo,n/a,
Dark Magician,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB02,OCG,Korea,2025-07-18,Ultra Rare,Chibi similar to 711C with original background,n/a,
Kuriboh,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB03,OCG,Korea,2025-07-18,Ultra Rare,Duel Arena chibi; pop-up store stamp promo,n/a,
Black Luster Soldier,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB04,OCG,Korea,2025-07-18,Ultra Rare,Duel Arena chibi; pop-up store stamp promo,n/a,
Buster Blader,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB05,OCG,Korea,2025-07-18,Ultra Rare,Chibi similar to 711C with original background,n/a,
Blue-Eyes Ultimate Dragon,7-Eleven Japan 2025 Campaign,711E-JP001,OCG,Japan,2025-08-07,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Dark Magician Girl,7-Eleven Japan 2025 Campaign,711E-JP002,OCG,Japan,2025-08-07,Normal Parallel Rare,Duel Arena chibi (pentagram chest jewel edit),n/a,
Kuriboh,7-Eleven Japan 2025 Campaign,711E-JP003,OCG,Japan,2025-08-07,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Witchcrafter Madame Verre,Limit Over Collection: The Heroes,LOCH-JP029,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (held by Golem Aruru),n/a,
Diabellstar the Black Witch,Limit Over Collection: The Heroes,LOCH-JP030,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (with Rciela and Silvera),n/a,
Visas Samsara,Limit Over Collection: The Heroes,LOCH-JP031,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Ib the World Chalice Justiciar,Limit Over Collection: The Heroes,LOCH-JP032,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Divine Arsenal AA-ZEUS - Sky Thunder,Limit Over Collection: The Heroes,LOCH-JP033,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Exosisters Magnifica,Limit Over Collection: The Heroes,LOCH-JP034,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Mekk-Knight Crusadia Avramax,Limit Over Collection: The Heroes,LOCH-JP035,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
"A Bao A Qu, the Lightless Shadow",Limit Over Collection: The Heroes,LOCH-JP036,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Sky Striker Mobilize - Engage!,Limit Over Collection: The Heroes,LOCH-JP037,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (Raye and Roze),n/a,
Dark Ruler No More,Limit Over Collection: The Heroes,LOCH-JP038,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
"Thunder King, the Lightningstrike Kaiju",Limit Over Collection: The Rivals,LOCR-JP029,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Rescue-ACE Turbulence,Limit Over Collection: The Rivals,LOCR-JP030,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Lovely Labrynth of the Silver Castle,Limit Over Collection: The Rivals,LOCR-JP031,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (with Labrynth plushes),n/a,
Diabellze the Original Sinkeeper,Limit Over Collection: The Rivals,LOCR-JP032,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Fallen of Albaz,Limit Over Collection: The Rivals,LOCR-JP033,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (with Aluber),n/a,
"Incredible Ecclesia, the Virtuous",Limit Over Collection: The Rivals,LOCR-JP034,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (with Cartesia),n/a,
Super Starslayer TY-PHON - Sky Crisis,Limit Over Collection: The Rivals,LOCR-JP035,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
"Dingirsu, the Orcust of the Evening Star",Limit Over Collection: The Rivals,LOCR-JP036,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Ultimate Slayer,Limit Over Collection: The Rivals,LOCR-JP037,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (Apollousa),n/a,
Maliss in Underground,Limit Over Collection: The Rivals,LOCR-JP038,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
